GHCN ID,Station Name,State,County,Latitude,Longitude,13/03/2017,14/03/2017,15/03/2017,16/03/2017
USC00060227,BAKERSVILLE,CT,LITCHFIELD,-73.01,41.84,0.0,4.3,12.2,0.0
USC00060299,BARKHAMSTED,CT,LITCHFIELD,-72.96,41.92,0.0,4.0,12.0,0.0
US1CTHR0018,BERLIN 2.4 SSE,CT,HARTFORD,-72.76,41.58,0.0,5.7,18.5,0.0
USC00060808,BRIDGEPORT-SUCCESS HILL,CT,FAIRFIELD,-73.16,41.2,0.0,4.5,2.6,0.0
US1CTFR0009,BROOKFIELD 3.3 SSE,CT,FAIRFIELD,-73.39,41.44,0.0,4.5,8.7,0.0
USC00060973,BURLINGTON,CT,HARTFORD,-72.93,41.79,0.0,3.0,13.0,0.0
US1CTHR0007,CENTRAL MANCHESTER 2.7 SW,CT,HARTFORD,-72.55,41.75,0.0,0.0,0.0,0.0
US1CTHR0024,COLLINSVILLE 0.9 NW,CT,HARTFORD,-72.94,41.83,0.0,4.0,11.9,0.0
US1CTWN0006,DAYVILLE 2.0 ENE,CT,WINDHAM,-71.85,41.86,0.0,2.0,7.0,0.0
US1CTHR0022,EAST HARTFORD 1.3 E,CT,HARTFORD,-72.59,41.76,0.0,3.0,10.0,0.0
US1CTWN0004,EAST KILLINGLY 1.3 SW,CT,WINDHAM,-71.84,41.84,0.0,1.5,7.7,0.0
US1CTHR0005,ENFIELD 1.5 SE,CT,HARTFORD,-72.57,41.96,0.0,3.0,8.7,0.0
USC00063420,HAMPTON,CT,WINDHAM,-72.05,41.77,0.0,2.5,0.0,0.0
USW00014740,HARTFORD-BRADLEY INTERNATIONAL AI,CT,HARTFORD,-72.68,41.94,0.0,15.8,0.0,0.0
USW00094702,IGOR I SIKORSKY MEMORI AP,CT,FAIRFIELD,-73.13,41.16,0.0,7.1,0.0,0.0
US1CTLT0007,LITCHFIELD 2.3 NNE,CT,LITCHFIELD,-73.17,41.77,0.0,0.0,0.0,0.0
US1CTTL0004,MANSFIELD CENTER 1.9 SW,CT,TOLLAND,-72.22,41.74,0.0,10.4,0.5,0.0
US1CTNH0016,MILFORD 1.8 E,CT,NEW HAVEN,-73.03,41.22,0.0,2.3,4.6,0.0
US1CTWN0008,MOOSUP 1.7 NE,CT,WINDHAM,-71.85,41.73,0.0,1.5,8.5,0.0
US1CTFR0003,NEW CANAAN 1.9 ENE,CT,FAIRFIELD,-73.46,41.15,0.0,6.1,6.2,0.0
US1CTHR0019,NEWINGTON 0.8 ENE,CT,HARTFORD,-72.72,41.69,0.0,0.0,14.0,0.0
USC00065445,NORFOLK 2 SW,CT,LITCHFIELD,-73.22,41.97,0.0,5.1,10.4,0.4
US1CTHR0008,NORTH GRANBY 1.3 ENE,CT,HARTFORD,-72.82,42.02,0.0,3.5,12.3,0.0
US1CTWN0002,NORTH GROSVENOR DALE 1.7 SSE,CT,WINDHAM,-71.89,41.96,0.0,2.0,12.0,0.0
USC00065910,NORWICH PUB UTILITY PLANT,CT,NEW LONDON,-72.06,41.53,0.0,0.0,0.0,0.0
US1CTNL0005,OAKDALE 2.6 WNW,CT,NEW LONDON,-72.21,41.48,0.0,1.9,6.0,0.0
US1CTMD0002,PORTLAND 0.9 S,CT,MIDDLESEX,-72.63,41.57,0.0,0.0,0.0,0.0
US1CTNH0014,PROSPECT 1.9 ENE,CT,NEW HAVEN,-72.94,41.51,0.0,3.8,8.5,0.0
US1CTFR0024,RIDGEFIELD 3.7 NNE,CT,FAIRFIELD,-73.48,41.32,0.0,0.0,0.0,0.0
US1CTFR0023,SHELTON 1.3 W,CT,FAIRFIELD,-73.16,41.31,0.0,9.8,0.0,0.0
US1CTHR0023,SOUTHINGTON 0.9 SSE,CT,HARTFORD,-72.87,41.58,0.0,0.0,0.0,0.0
US1CTHR0015,SOUTHINGTON 3.0 E,CT,HARTFORD,-72.82,41.61,0.0,4.1,14.5,0.1
USC00067958,STAFFORDVILLE,CT,TOLLAND,-72.26,42.0,0.0,0.0,13.5,0.0
USC00068138,STORRS,CT,TOLLAND,-72.23,41.8,0.0,1.5,8.5,0.0
USC00068330,THOMASTON DAM,CT,LITCHFIELD,-73.06,41.69,0.0,6.0,7.0,0.0
US1CTHR0009,WEST HARTFORD 2.7 NNW,CT,HARTFORD,-72.78,41.8,0.0,0.0,0.0,0.0
US1CTHR0011,WEST HARTFORD 2.7 SSE,CT,HARTFORD,-72.74,41.73,0.0,4.0,8.9,0.0
USC00069388,WEST THOMPSON LAKE,CT,WINDHAM,-71.9,41.94,0.0,1.0,8.0,0.0
US1CTMD0005,WESTBROOK CENTER 1.1 N,CT,MIDDLESEX,-72.44,41.3,0.0,0.0,0.0,0.0
US1CTFR0020,WESTPORT 2.5 ENE,CT,FAIRFIELD,-73.3,41.13,0.0,0.0,0.0,0.0
US1CTHR0006,WETHERSFIELD 1.2 WSW,CT,HARTFORD,-72.69,41.69,0.0,4.5,8.5,0.0
US1CTLT0005,WINSTED 2.6 NNW,CT,LITCHFIELD,-73.09,41.96,0.0,0.0,0.0,0.0
US1DEKN0012,CAMDEN 3.7 ESE,DE,KENT,-75.49,39.08,0.0,0.0,0.0,0.0
US1DESS0031,DAGSBORO 7.1 ENE,DE,SUSSEX,-75.12,38.58,0.0,0.0,0.0,0.0
US1DESS0003,DELMAR 4.3 E,DE,SUSSEX,-75.49,38.47,0.0,0.0,0.0,0.0
US1DESS0045,DEWEY BEACH 0.2 S,DE,SUSSEX,-75.08,38.69,0.0,0.0,0.0,0.0
US1DEKN0001,FELTON 3.6 NE,DE,KENT,-75.52,39.03,0.0,0.0,0.0,0.0
US1DESS0002,GEORGETOWN 5.8 W,DE,SUSSEX,-75.49,38.7,0.0,0.0,0.0,0.0
US1DESS0040,LEWES 1.5 SSW,DE,SUSSEX,-75.16,38.76,0.0,0.0,0.0,0.0
US1DESS0044,LEWES 3.9 SW,DE,SUSSEX,-75.2,38.74,0.0,0.0,0.0,0.0
US1DENC0004,MIDDLETOWN 0.9 SSE,DE,NEW CASTLE,-75.71,39.44,0.0,0.0,0.0,0.0
US1DEKN0013,MILFORD 1.5 W,DE,KENT,-75.46,38.91,0.0,0.0,0.0,0.0
US1DESS0030,MILFORD 2.6 SE,DE,SUSSEX,-75.39,38.89,0.0,0.0,0.0,0.0
US1DESS0041,MILLSBORO 1.3 W,DE,SUSSEX,-75.32,38.58,0.0,0.0,0.0,0.0
US1DENC0013,NEWARK 1.5 S,DE,NEW CASTLE,-75.76,39.66,0.0,2.8,0.9,0.1
US1DENC0002,NEWARK 3.9 SSW,DE,NEW CASTLE,-75.79,39.62,0.0,2.5,1.1,0.0
US1DENC0001,NEWARK 5.3 N,DE,NEW CASTLE,-75.75,39.75,0.0,4.0,0.0,0.0
US1DENC0010,NEWPORT 2.4 WNW,DE,NEW CASTLE,-75.65,39.73,0.0,0.0,0.0,0.1
US1DESS0042,OCEAN VIEW 0.7 NW,DE,SUSSEX,-75.1,38.55,0.0,0.0,0.0,0.0
US1DESS0035,SEAFORD 0.6 S,DE,SUSSEX,-75.62,38.64,0.0,0.0,0.0,0.0
US1DESS0016,SEAFORD 0.7 SW,DE,SUSSEX,-75.63,38.64,0.0,0.0,0.0,0.0
US1DESS0006,SEAFORD 2.3 SSE,DE,SUSSEX,-75.6,38.62,0.0,0.0,0.0,0.0
US1DESS0015,SELBYVILLE 7.1 E,DE,SUSSEX,-75.09,38.46,0.0,0.0,0.0,0.0
US1DEKN0003,SMYRNA 2.7 SSE,DE,KENT,-75.59,39.26,0.0,0.0,0.0,0.0
USW00013781,WILMINGTON NEW CASTLE COUNTY AP,DE,NEW CASTLE,-75.6,39.67,1.6,0.2,0.1,0.0
USC00079605,WILMINGTON PORTER RES,DE,NEW CASTLE,-75.54,39.77,0.0,3.0,0.0,0.0
US1MAPL0015,ABINGTON 1.2 NNE,MA,PLYMOUTH,-70.95,42.13,0.0,0.3,3.0,0.0
US1MAMD0012,ACTON 1.3 SW,MA,MIDDLESEX,-71.48,42.47,0.0,0.1,10.0,0.0
USC00190120,AMHERST,MA,HAMPSHIRE,-72.54,42.39,0.0,1.8,7.4,0.0
USC00190190,ASHBURNHAM,MA,WORCESTER,-71.92,42.62,0.0,1.4,13.1,0.0
USC00190192,ASHBURNHAM NORTH,MA,WORCESTER,-71.94,42.66,0.0,0.0,13.0,0.0
US1MABR0023,ATTLEBORO 0.9 ENE,MA,BRISTOL,-71.28,41.94,0.0,0.6,2.5,0.0
US1MAWR0032,AUBURN 1.9 ESE,MA,WORCESTER,-71.8,42.19,0.0,0.0,0.0,0.0
USC00190408,BARRE FALLS DAM,MA,WORCESTER,-72.03,42.43,0.0,0.0,0.0,0.0
US1MABE0004,BECKET 5.6 SSW,MA,BERKSHIRE,-73.13,42.26,0.0,2.6,16.2,0.2
USC00190562,BELCHERTOWN,MA,HAMPSHIRE,-72.35,42.28,0.0,1.5,7.2,0.0
US1MAWR0028,BERLIN 1.3 WSW,MA,WORCESTER,-71.66,42.38,0.0,1.1,10.3,0.0
USC00190593,BEVERLY,MA,ESSEX,-70.84,42.59,0.0,0.0,8.0,0.0
US1MAES0002,BEVERLY 2.8 NW,MA,ESSEX,-70.88,42.59,0.0,0.0,3.0,0.0
USC00190666,BIRCH HILL DAM,MA,WORCESTER,-72.12,42.63,0.0,0.0,0.0,0.0
USC00190736,BLUE HILL,MA,NORFOLK,-71.11,42.21,0.0,0.5,6.7,0.0
USW00014739,BOSTON,MA,SUFFOLK,-71.01,42.36,0.0,6.6,0.0,0.0
US1MASF0001,BOSTON 0.5 WSW,MA,SUFFOLK,-71.07,42.36,0.0,0.0,0.0,0.0
US1MAES0012,BOXFORD 2.4 S,MA,ESSEX,-70.98,42.64,0.0,0.0,8.0,0.0
US1MABA0033,BREWSTER 1.5 ESE,MA,BARNSTABLE,-70.05,41.75,0.0,0.0,0.0,0.0
USC00190840,BRIDGEWATER,MA,PLYMOUTH,-70.96,41.95,0.0,0.0,0.0,0.0
USC00190860,BROCKTON,MA,PLYMOUTH,-71.0,42.05,0.0,4.8,0.0,0.0
USC00190998,BUFFUMVILLE LAKE,MA,WORCESTER,-71.91,42.12,0.0,0.0,11.0,0.0
US1MAMD0011,CAMBRIDGE 0.9 NNW,MA,MIDDLESEX,-71.13,42.39,0.0,0.0,0.0,0.0
USC00191386,CHATHAM,MA,BARNSTABLE,-69.96,41.66,0.0,0.0,0.0,0.0
US1MABA0043,CHATHAM 0.4 WSW,MA,BARNSTABLE,-69.97,41.67,0.0,0.0,0.0,0.0
US1MASF0010,CHELSEA 0.8 N,MA,SUFFOLK,-71.04,42.41,0.0,0.3,7.9,0.0
US1MAFR0010,CONWAY 0.9 SW,MA,FRANKLIN,-72.7,42.51,0.0,2.0,9.5,0.0
US1MABR0014,DARTMOUTH 2.5 SSW,MA,BRISTOL,-71.02,41.53,0.0,0.0,0.0,0.0
US1MABR0008,DIGHTON 1.1 WSW,MA,BRISTOL,-71.14,41.81,0.0,0.0,5.7,0.0
USC00192107,EAST BRIMFIELD LAKE,MA,WORCESTER,-72.13,42.11,0.0,1.0,11.0,0.0
US1MABA0019,EAST FALMOUTH 0.7 NW,MA,BARNSTABLE,-70.57,41.58,0.0,0.0,1.0,0.0
US1MABA0017,EAST FALMOUTH 1.2 WNW,MA,BARNSTABLE,-70.58,41.58,0.0,0.0,0.0,0.0
US1MABA0011,EAST FALMOUTH 1.4 ESE,MA,BARNSTABLE,-70.53,41.57,0.0,0.0,0.0,0.0
USC00192175,EAST HAWLEY,MA,FRANKLIN,-72.87,42.57,0.0,3.0,15.0,0.0
USC00192372,EAST SANDWICH,MA,BARNSTABLE,-70.47,41.71,0.0,0.0,1.8,0.0
US1MABA0010,EAST SANDWICH 2.3 SE,MA,BARNSTABLE,-70.42,41.72,0.0,0.0,0.0,0.0
USC00192451,EAST WAREHAM,MA,PLYMOUTH,-70.67,41.77,0.0,0.0,0.0,0.0
US1MABA0030,EASTHAM 0.6 SW,MA,BARNSTABLE,-69.98,41.83,0.0,0.0,0.0,0.0
USC00192501,EDGARTOWN,MA,DUKES,-70.52,41.39,0.0,0.0,0.0,0.0
US1MABA0013,FALMOUTH 0.6 NNW,MA,BARNSTABLE,-70.61,41.55,0.0,0.0,0.0,0.0
US1MABA0008,FALMOUTH 1.8 WSW,MA,BARNSTABLE,-70.64,41.54,0.0,0.0,0.0,0.0
US1MABA0003,FALMOUTH 3.0 E,MA,BARNSTABLE,-70.55,41.55,0.0,0.0,0.2,0.0
US1MABA0002,FALMOUTH 3.1 NNW,MA,BARNSTABLE,-70.63,41.59,0.0,0.0,0.0,0.0
US1MAWR0008,FITCHBURG 1.6 SSW,MA,WORCESTER,-71.82,42.57,0.0,0.0,13.5,0.0
US1MAWR0022,FITCHBURG 2.0 NNE,MA,WORCESTER,-71.8,42.62,0.0,0.0,16.0,0.0
USC00192807,FITCHBURG COOP,MA,WORCESTER,-71.8,42.62,0.0,0.0,16.0,0.0
USC00192913,FOXBORO,MA,NORFOLK,-71.24,42.08,0.0,0.5,7.5,0.0
USC00192997,FRANKLIN,MA,NORFOLK,-71.41,42.08,0.0,0.0,6.0,0.0
US1MABE0011,GREAT BARRINGTON 3.0 N,MA,BERKSHIRE,-73.35,42.24,0.0,2.8,13.2,0.0
